도서명,저자,출판사,출판년도,ISBN
제품의 탄생,"오이카와 다쿠야, 소네하라 하루키, 고시로 구미코 ",책만,2022,9791189909499
혼자 공부하는 머신러닝+딥러닝,박해선 ,한빛미디어,2020,9791162243664
비전공자도 이해할 수 있는 AI 지식,박상길 ,반니,2022,9791167960221
혼자 공부하는 컴퓨터 구조+운영체제,강민철 ,한빛미디어,2022,9791162243091
비전공자를 위한 이해할 수 있는 IT 지식,최원영 ,티더블유아이지,2020,9791196918033
개발자 원칙,"박성철, 강대명, 김정, 박미정, 박종천 ",골든래빗,2022,9791191905236
Clean Code 클린 코드,로버트 C. 마틴 ,인사이트(insight),2013,9788966260959
코딩 자율학습 나도코딩의 C 언어 입문,나도코딩 ,길벗,2022,9791140701551
구글 엔지니어는 이렇게 일한다,"타이터스 윈터스, 톰 맨쉬렉, 하이럼 라이트 ",한빛미디어,2022,9791162245620
1일 1로그 100일 완성 IT 지식,브라이언 W. 커니핸 ,인사이트(insight),2021,9788966263301
면접을 위한 CS 전공지식 노트,주홍철 ,길벗,2022,9791165219529
혼자 공부하는 SQL,우재남 ,한빛미디어,2021,9791162244739
클린 아키텍처,로버트 C. 마틴 ,인사이트(insight),2019,9788966262472
"일잘러의 비밀, 엑셀 대신 파이썬으로 업무 자동화하기",포스코인재창조원 ,한빛미디어,2022,9791162245569
IT 트렌드 2023,김지현 ,크레타,2022,9791192742007
이것이 취업을 위한 코딩 테스트다 with 파이썬,나동빈 ,한빛미디어,2020,9791162243077
트랜스포머를 활용한 자연어 처리,"루이스 턴스톨, 레안드로 폰 베라, 토마스 울프 ",한빛미디어,2022,9791169210508
AI 지도책,케이트 크로퍼드 ,소소의책,2022,9791188941896
밑바닥부터 시작하는 딥러닝,사이토 고키 ,한빛미디어,2017,9788968484636
알고리즘 문제 해결 전략 세트,구종만 ,인사이트(insight),2012,9788966260546
리팩터링 2판,마틴 파울러 ,한빛미디어,2020,9791162242742
컨테이너 인프라 환경 구축을 위한 쿠버네티스/도커,"조훈, 심근우, 문성주 ",길벗,2021,9791165215743
한 권으로 읽는 컴퓨터 구조와 프로그래밍,조너선 스타인하트 ,책만,2021,9791189909284
IT 5분 잡학사전,"니꼴라스, 배지현 ",이지스퍼블리싱,2022,9791163034001
프로그래머의 뇌,펠리너 헤르만스 ,제이펍,2022,9791191600650
소프트웨어 아키텍처 The Hard Parts,"닐 포드, 마크 리처즈, 프라모드 세달라지, 세막 데그하니 ",한빛미디어,2022,9791169210294
Do it! 게임 10개 만들며 배우는 파이썬,"벤 포터, 쉬무엘 포터 ",이지스퍼블리싱,2022,9791163034230
헤드 퍼스트 디자인 패턴,"에릭 프리먼, 엘리자베스 롭슨 ",한빛미디어,2022,9791162245262
메타버스 FOR 에듀테크,"변문경, 김병석, 이정훈, 박찬 ",다빈치books,2021,9791186742723
핸즈온 머신러닝,오렐리앙 제롱 ,한빛미디어,2020,9791162242964
개발자의 글쓰기,김철수 ,위키북스,2019,9791158391744
비전공이지만 개발자로 먹고삽니다,"반병현, 이효석 ",생능북스,2023,9788970505589
모두의 인공지능 기초 수학,서지영 ,길벗,2020,9791165212353
쏙쏙 들어오는 함수형 코딩,에릭 노먼드 ,제이펍,2022,9791191600759
밑바닥부터 시작하는 딥러닝 2,사이토 고키 ,한빛미디어,2019,9791162241745
궁금한 IT,김상래 ,위키북스,2022,9791158393762
그림으로 공부하는 IT 인프라 구조,"야마자키 야스시, 미나와 케이코, 아제카츠 요헤이, 사토 타카히코 ",제이펍,2020,9791190665209
만들면서 배우는 인공지능 엔트리와 40개의 작품들,"김수연, 김종렬, 장문철, 전진아 ",앤써북,2022,9791197948909
그림으로 이해하는 가상화와 컨테이너,"이가라시 타카유키, 스스키다 타츠야 ",길벗,2022,9791140702152
후니의 쉽게 쓴 시스코 네트워킹,진강훈 등,성안당,2022,9788931589191
